,station_line,weekday,weekday2,hr4
2184,GRD CNTRL-42 ST 4567S,0,Monday,131832.33333333334
630,34 ST-HERALD SQ BDFMNQRW,0,Monday,111446.0
721,42 ST-PORT AUTH ACENQRS1237W,0,Monday,83981.66666666667
658,34 ST-PENN STA ACE,0,Monday,73691.83333333333
196,14 ST-UNION SQ LNQR456W,0,Monday,62628.333333333336
3122,TIMES SQ-42 ST 1237ACENQRSW,0,Monday,57106.333333333336
2023,FLUSHING-MAIN 7,0,Monday,56345.333333333336
2114,FULTON ST 2345ACJZ,0,Monday,53764.833333333336
861,59 ST COLUMBUS ABCD1,0,Monday,50774.166666666664
651,34 ST-PENN STA 123ACE,0,Monday,49510.833333333336
749,47-50 STS ROCK BDFM,0,Monday,49381.833333333336
2821,PATH NEW WTC 1,0,Monday,48324.0
2373,JKSN HT-ROOSVLT EFMR7,0,Monday,47226.0
1645,CANAL ST JNQRZ6W,0,Monday,43830.833333333336
2185,GRD CNTRL-42 ST 4567S,1,Tuesday,155483.33333333334
631,34 ST-HERALD SQ BDFMNQRW,1,Tuesday,127446.83333333333
722,42 ST-PORT AUTH ACENQRS1237W,1,Tuesday,90593.83333333333
659,34 ST-PENN STA ACE,1,Tuesday,81784.16666666667
197,14 ST-UNION SQ LNQR456W,1,Tuesday,74281.83333333333
3123,TIMES SQ-42 ST 1237ACENQRSW,1,Tuesday,65625.33333333333
2115,FULTON ST 2345ACJZ,1,Tuesday,65478.0
750,47-50 STS ROCK BDFM,1,Tuesday,61906.833333333336
2024,FLUSHING-MAIN 7,1,Tuesday,61837.166666666664
862,59 ST COLUMBUS ABCD1,1,Tuesday,60606.666666666664
2822,PATH NEW WTC 1,1,Tuesday,59721.0
652,34 ST-PENN STA 123ACE,1,Tuesday,54658.5
2374,JKSN HT-ROOSVLT EFMR7,1,Tuesday,51171.833333333336
1093,86 ST 456,1,Tuesday,48074.833333333336
1646,CANAL ST JNQRZ6W,1,Tuesday,48007.333333333336
2479,LEXINGTON AV/53 EM6,1,Tuesday,45580.333333333336
848,59 ST 456NQRW,1,Tuesday,45405.5
708,42 ST-BRYANT PK BDFM7,1,Tuesday,43998.666666666664
2346,JAY ST-METROTEC ACF,1,Tuesday,43977.666666666664
2186,GRD CNTRL-42 ST 4567S,2,Wednesday,159227.0
632,34 ST-HERALD SQ BDFMNQRW,2,Wednesday,132908.83333333334
723,42 ST-PORT AUTH ACENQRS1237W,2,Wednesday,91804.33333333333
660,34 ST-PENN STA ACE,2,Wednesday,82992.83333333333
198,14 ST-UNION SQ LNQR456W,2,Wednesday,78856.66666666667
3124,TIMES SQ-42 ST 1237ACENQRSW,2,Wednesday,70463.83333333333
2116,FULTON ST 2345ACJZ,2,Wednesday,64675.666666666664
863,59 ST COLUMBUS ABCD1,2,Wednesday,62953.333333333336
751,47-50 STS ROCK BDFM,2,Wednesday,62656.5
2025,FLUSHING-MAIN 7,2,Wednesday,62128.833333333336
2823,PATH NEW WTC 1,2,Wednesday,58352.166666666664
653,34 ST-PENN STA 123ACE,2,Wednesday,55679.5
2375,JKSN HT-ROOSVLT EFMR7,2,Wednesday,51129.0
1647,CANAL ST JNQRZ6W,2,Wednesday,48845.0
1094,86 ST 456,2,Wednesday,48655.666666666664
849,59 ST 456NQRW,2,Wednesday,47013.0
2480,LEXINGTON AV/53 EM6,2,Wednesday,46659.5
709,42 ST-BRYANT PK BDFM7,2,Wednesday,46049.5
2347,JAY ST-METROTEC ACF,2,Wednesday,44610.333333333336
3208,W 4 ST-WASH SQ ABCDEFM,2,Wednesday,44417.833333333336
2333,JAMAICA CENTER EJZ,2,Wednesday,43201.666666666664
2187,GRD CNTRL-42 ST 4567S,3,Thursday,162863.83333333334
633,34 ST-HERALD SQ BDFMNQRW,3,Thursday,133871.83333333334
724,42 ST-PORT AUTH ACENQRS1237W,3,Thursday,93450.16666666667
661,34 ST-PENN STA ACE,3,Thursday,83706.0
199,14 ST-UNION SQ LNQR456W,3,Thursday,78396.83333333333
3125,TIMES SQ-42 ST 1237ACENQRSW,3,Thursday,70055.0
2117,FULTON ST 2345ACJZ,3,Thursday,66197.5
752,47-50 STS ROCK BDFM,3,Thursday,64234.0
864,59 ST COLUMBUS ABCD1,3,Thursday,64031.5
2026,FLUSHING-MAIN 7,3,Thursday,59612.166666666664
2824,PATH NEW WTC 1,3,Thursday,59023.5
654,34 ST-PENN STA 123ACE,3,Thursday,56321.833333333336
2376,JKSN HT-ROOSVLT EFMR7,3,Thursday,50938.666666666664
1648,CANAL ST JNQRZ6W,3,Thursday,49384.5
1095,86 ST 456,3,Thursday,48831.333333333336
2481,LEXINGTON AV/53 EM6,3,Thursday,47818.166666666664
850,59 ST 456NQRW,3,Thursday,47369.5
710,42 ST-BRYANT PK BDFM7,3,Thursday,46851.166666666664
3209,W 4 ST-WASH SQ ABCDEFM,3,Thursday,45330.166666666664
2348,JAY ST-METROTEC ACF,3,Thursday,44690.333333333336
2334,JAMAICA CENTER EJZ,3,Thursday,43126.0
2188,GRD CNTRL-42 ST 4567S,4,Friday,149313.66666666666
634,34 ST-HERALD SQ BDFMNQRW,4,Friday,132396.66666666666
725,42 ST-PORT AUTH ACENQRS1237W,4,Friday,90102.33333333333
662,34 ST-PENN STA ACE,4,Friday,80532.16666666667
200,14 ST-UNION SQ LNQR456W,4,Friday,77456.0
3126,TIMES SQ-42 ST 1237ACENQRSW,4,Friday,67927.66666666667
2027,FLUSHING-MAIN 7,4,Friday,62461.833333333336
2118,FULTON ST 2345ACJZ,4,Friday,62404.0
753,47-50 STS ROCK BDFM,4,Friday,61597.166666666664
865,59 ST COLUMBUS ABCD1,4,Friday,59353.666666666664
2825,PATH NEW WTC 1,4,Friday,54304.833333333336
655,34 ST-PENN STA 123ACE,4,Friday,53410.0
1649,CANAL ST JNQRZ6W,4,Friday,50359.666666666664
1096,86 ST 456,4,Friday,48641.166666666664
851,59 ST 456NQRW,4,Friday,46658.333333333336
2482,LEXINGTON AV/53 EM6,4,Friday,45554.0
3210,W 4 ST-WASH SQ ABCDEFM,4,Friday,45019.833333333336
635,34 ST-HERALD SQ BDFMNQRW,5,Saturday,75719.16666666667
2189,GRD CNTRL-42 ST 4567S,5,Saturday,58393.666666666664
726,42 ST-PORT AUTH ACENQRS1237W,5,Saturday,54219.166666666664
201,14 ST-UNION SQ LNQR456W,5,Saturday,50098.666666666664
3127,TIMES SQ-42 ST 1237ACENQRSW,5,Saturday,43452.0
636,34 ST-HERALD SQ BDFMNQRW,6,Sunday,63140.833333333336
727,42 ST-PORT AUTH ACENQRS1237W,6,Sunday,48138.5
2190,GRD CNTRL-42 ST 4567S,6,Sunday,45724.166666666664
