,stl,idx,weekly_traffic,scaled_weekday_index,lat,lon
459,WALL ST 23,125.54406288787753,122342.8,5.0,40.706820999753376,-74.00909999844257
108,5 AV/53 ST EM,9.026138032305433,143383.8,3.610455212922173,40.76008683231326,-73.9752485052734
74,23 ST FM,8.880398869234348,165668.6,3.5521595476937393,40.742954317826005,-73.99276500471389
242,CHAMBERS ST ACE23,8.836012673767407,168256.80000000002,3.5344050695069624,40.714111000774025,-74.00858473570133
105,47-50 STS ROCK BDFM,8.568577700151057,324321.2,3.4274310800604226,40.75864100159815,-73.98133100227702
241,CHAMBERS ST 123,8.36479681837134,116794.00000000001,3.3459187273485362,40.71547800011327,-74.00926600170112
131,68ST-HUNTER CO 6,8.346564700169944,123195.2,3.3386258800679776,40.76814100049679,-73.96387000158042
400,PATH NEW WTC 1,7.894038304332593,304638.6,3.1576153217330374,40.71256392680817,-74.00974461517701
72,23 ST 6,7.8785083883279015,156331.0,3.1514033553311607,40.739864000474604,-73.98659900207888
217,BOWLING GREEN 45,7.454062528083716,169329.8,2.9816250112334863,40.70491399928076,-74.01400799803432
